t,phi_model_real,phi_model_imag,phi_model_abs
31.61,-9.851702393761432e-07,-8.085576644369653e-07,1.2744904461282587e-06
31.62,-9.38750935175968e-07,-8.312495397514542e-07,1.253885607075366e-06
31.63,-8.926540157966961e-07,-8.520645047769668e-07,1.234036106529621e-06
31.64,-8.469217384510134e-07,-8.71052358815505e-07,1.214910960876945e-06
31.65,-8.01593841804713e-07,-8.882635662625644e-07,1.1964801922174594e-06
31.66,-7.567076453022572e-07,-9.037491798377466e-07,1.1787149954574627e-06
31.67,-7.122981475011594e-07,-9.175607678994892e-07,1.161587884631156e-06
31.68,-6.683981236737418e-07,-9.297503456106093e-07,1.1450728172887635e-06
31.69,-6.250382228896512e-07,-9.40370309682643e-07,1.1291452959675666e-06
31.7,-5.822470647493985e-07,-9.494733763983496e-07,1.113782445946502e-06
31.71,-5.400513358974393e-07,-9.571125226036368e-07,1.0989630686830682e-06
31.72,-4.984758864056211e-07,-9.63340929354053e-07,1.0846676705316705e-06
31.73,-4.57543826088153e-07,-9.682119279156952e-07,1.0708784665636028e-06
31.74,-4.172766207931787e-07,-9.717789478313109e-07,1.0575793595322783e-06
31.75,-3.776941887042599e-07,-9.740954667851525e-07,1.0447558942606416e-06
31.76,-3.388149966940494e-07,-9.7521496201498e-07,1.0323951879598567e-06
31.77,-3.006561567859476e-07,-9.751908630346324e-07,1.0204858372165325e-06
31.78,-2.632335228078067e-07,-9.740765054343334e-07,1.0090178026025957e-06
31.79,-2.2656178735691473e-07,-9.719250855204086e-07,9.979822720640949e-07
31.8,-1.906545792371222e-07,-9.687896155292845e-07,9.8737150442043e-07
31.81,-1.5552456157165942e-07,-9.647228791150446e-07,9.771786544640021e-07
31.82,-1.2118353083643355e-07,-9.597773867437553e-07,9.67397581271866e-07
31.83,-8.764251709221098e-08,-9.540053305470015e-07,9.580226414413974e-07
31.84,-5.4911885714675786e-08,-9.47458538081542e-07,9.490484690343031e-07
31.85,-2.3001440922981008e-08,-9.401884243150575e-07,9.404697440644033e-07
31.86,8.07946861589853e-09,-9.322459410080508e-07,9.322809513977541e-07
31.87,3.832184188439164e-08,-9.236815224997116e-07,9.244761319649078e-07
31.88,6.771691518608178e-08,-9.145450267227114e-07,9.170486282120288e-07
31.89,9.625604940261665e-08,-9.048856700866247e-07,9.099908257640396e-07
31.9,1.239306150413585e-07,-8.947519546789743e-07,9.032938933405753e-07
31.91,1.5073187552876238e-07,-8.841915860506793e-07,8.969475230710177e-07
31.92,1.7665086952293745e-07,-8.732513796924536e-07,8.909396735121764e-07
31.93,2.0167829340527513e-07,-8.619771541754792e-07,8.852563178827486e-07
31.94,2.2580438557086823e-07,-8.504136088568588e-07,8.798812003173971e-07
31.95,2.4901881467155475e-07,-8.386041840307273e-07,8.747956032892872e-07
