q_m_inv,power
-4.5048578500104584e+16,1.4706816321030715e-09
-4.5023551512048976e+16,2.9726261294781312e-09
-4.4998524523993360e+16,1.3886790374994811e-09
-4.4973497535937744e+16,2.3494967884439829e-09
-4.4948470547882128e+16,2.5050291373755953e-09
-4.4923443559826520e+16,2.7035564450917537e-09
-4.4898416571770904e+16,3.8372983600816755e-09
-4.4873389583715288e+16,3.2333493065984334e-09
-4.4848362595659680e+16,4.8287615030507238e-09
-4.4823335607604064e+16,3.1392737043489492e-09
-4.4798308619548448e+16,5.2387882035623510e-09
-4.4773281631492832e+16,2.7189091938522897e-09
-4.4748254643437224e+16,4.1560514759768246e-09
-4.4723227655381608e+16,2.0893660727264248e-09
-4.4698200667325992e+16,2.8139863604173065e-09
-4.4673173679270376e+16,1.1559756023925037e-09
-4.4648146691214768e+16,1.4996929981827309e-09
-4.4623119703159152e+16,8.6356912138532751e-10
-4.4598092715103536e+16,4.7438298083264249e-10
-4.4573065727047920e+16,1.3222796175219394e-09
-4.4548038738992312e+16,4.6460532622704078e-10
-4.4523011750936696e+16,1.5795814830211000e-09
-4.4497984762881088e+16,1.0879698888655425e-09
-4.4472957774825472e+16,2.5842432276611537e-09
-4.4447930786769856e+16,1.4753999721998448e-09
-4.4422903798714248e+16,2.9303236057143971e-09
-4.4397876810658632e+16,2.3331669854567499e-09
-4.4372849822603024e+16,2.4460065880010174e-09
-4.4347822834547408e+16,2.2223323477014806e-09
-4.4322795846491792e+16,2.2861454649338259e-09
-4.4297768858436176e+16,1.7550269139372085e-09
-4.4272741870380568e+16,9.8880442939901671e-10
-4.4247714882324952e+16,1.4564856286060484e-09
-4.4222687894269336e+16,3.6851811017821611e-10
-4.4197660906213720e+16,6.7399004742603053e-10
-4.4172633918158112e+16,8.9635241643369874e-11
-4.4147606930102496e+16,5.0409041959438565e-10
-4.4122579942046880e+16,4.7395803005219334e-10
-4.4097552953991264e+16,7.4222500343468085e-10
-4.4072525965935656e+16,1.0538282410768923e-09
-4.4047498977880040e+16,1.1149350406532790e-09
-4.4022471989824424e+16,2.4530422029294667e-09
-4.3997445001768808e+16,1.4012445640050355e-09
-4.3972418013713200e+16,2.9661041342344094e-09
-4.3947391025657584e+16,1.8821714536367037e-09
-4.3922364037601968e+16,3.0585489637613237e-09
-4.3897337049546360e+16,1.3196494580563474e-09
-4.3872310061490744e+16,2.8537248823357771e-09
-4.3847283073435128e+16,9.4477686987624678e-10
-4.3822256085379512e+16,1.4232820866006840e-09
-4.3797229097323904e+16,5.7488955800455775e-10
-4.3772202109268288e+16,6.9904807854907765e-10
-4.3747175121212672e+16,2.9609323039227978e-10
-4.3722148133157056e+16,2.1057769359040390e-10
-4.3697121145101448e+16,9.9391805764205927e-10
-4.3672094157045832e+16,3.9479205629013462e-10
-4.3647067168990224e+16,2.0501630212381501e-09
-4.3622040180934608e+16,1.3897077804276718e-09
-4.3597013192878992e+16,2.7435754447383897e-09
-4.3571986204823384e+16,2.4234464726223289e-09
-4.3546959216767768e+16,3.6159261944843791e-09
-4.3521932228712152e+16,2.7130817871738715e-09
-4.3496905240656544e+16,2.9199923736807771e-09
-4.3471878252600928e+16,2.8092384558059890e-09
-4.3446851264545312e+16,1.8684398551382158e-09
-4.3421824276489704e+16,1.8521509060649792e-09
-4.3396797288434088e+16,8.0713527811558023e-10
-4.3371770300378472e+16,9.1598532336219223e-10
-4.3346743312322856e+16,1.4676289828277438e-10
-4.3321716324267248e+16,6.8470539777431866e-10
-4.3296689336211632e+16,4.0795461277461098e-10
-4.3271662348156016e+16,1.0106826846382854e-09
-4.3246635360100400e+16,2.0910845003820780e-09
-4.3221608372044792e+16,1.4735375911526765e-09
-4.3196581383989176e+16,3.5075999455798398e-09
-4.3171554395933560e+16,2.8617712859454467e-09
-4.3146527407877944e+16,4.1026548451318845e-09
-4.3121500419822336e+16,2.4919054298279490e-09
-4.3096473431766720e+16,4.6808357265481025e-09
-4.3071446443711104e+16,1.9955643563908527e-09
-4.3046419455655488e+16,2.5945061951543177e-09
-4.3021392467599880e+16,1.2896400156112607e-09
-4.2996365479544264e+16,1.3812348940107679e-09
-4.2971338491488648e+16,3.3371947975441387e-10
-4.2946311503433040e+16,2.7444286377938895e-10
-4.2921284515377424e+16,4.4223889367589679e-10
-4.2896257527321808e+16,3.3317511499234557e-10
-4.2871230539266192e+16,1.6823750370156982e-09
-4.2846203551210584e+16,1.0793393532986982e-09
-4.2821176563154968e+16,2.8909344521692520e-09
